Product Id,Product Handle,Product Title,Product Status,Product Description,Product Subtitle,Product External Id,Product Thumbnail,Product Collection Id,Product Type Id,Product Created At,Product Deleted At,Product Discountable,Product Height,Product Hs Code,Product Image 1,Product Is Giftcard,Product Length,Product Material,Product Mid Code,Product Origin Country,Product Sales Channel 1,Product Tag 1,Product Updated At,Product Weight,Product Width,Variant Id,Variant Title,Variant Sku,Variant Upc,Variant Ean,Variant Hs Code,Variant Mid Code,Variant Manage Inventory,Variant Allow Backorder,Variant Barcode,Variant Created At,Variant Deleted At,Variant Height,Variant Length,Variant Material,Variant Metadata,Variant Option 1 Name,Variant Option 1 Value,Variant Option 2 Name,Variant Option 2 Value,Variant Option 3 Name,Variant Option 3 Value,Variant Origin Country,Variant Price EUR,Variant Product Id,Variant Updated At,Variant Variant Rank,Variant Weight,Variant Width
prod_01JC6VS1S74ACE8RN57D8P4VD1,classic-rose-bouquet,Classic Rose Bouquet,published,"A timeless bouquet of fresh roses, perfect for expressing love, gratitude, or admiration.",,,http://localhost:9000/static/1731102278954-roses.jpg,,,2024-11-08T21:44:39.080Z,,true,,,http://localhost:9000/static/1731102278954-roses.jpg,false,,,,,sc_01JBYPA6S9ZG068M4VFJQNC33B,flower,2024-11-08T21:44:39.080Z,,,variant_01JC6VSD8NN7D5QF2BET7MZNAK,Small (12 roses) / Red / Classic paper wrap,,,,,,false,false,,2024-11-08T21:44:51.234Z,,,,,,Size,Small (12 roses),Color,Red,Wrapping Style,Classic paper wrap,,30,prod_01JC6VS1S74ACE8RN57D8P4VD1,2024-11-08T21:44:51.234Z,0,,
prod_01JC6VS1S74ACE8RN57D8P4VD1,classic-rose-bouquet,Classic Rose Bouquet,published,"A timeless bouquet of fresh roses, perfect for expressing love, gratitude, or admiration.",,,http://localhost:9000/static/1731102278954-roses.jpg,,,2024-11-08T21:44:39.080Z,,true,,,http://localhost:9000/static/1731102278954-roses.jpg,false,,,,,sc_01JBYPA6S9ZG068M4VFJQNC33B,flower,2024-11-08T21:44:39.080Z,,,variant_01JC6VSD8NKFC71R3ZXV09T13S,Medium (24 roses) / Red / Classic paper wrap,,,,,,false,false,,2024-11-08T21:44:51.235Z,,,,,,Size,Medium (24 roses),Color,Red,Wrapping Style,Classic paper wrap,,45,prod_01JC6VS1S74ACE8RN57D8P4VD1,2024-11-08T21:44:51.235Z,0,,
prod_01JC6VS1S74ACE8RN57D8P4VD1,classic-rose-bouquet,Classic Rose Bouquet,published,"A timeless bouquet of fresh roses, perfect for expressing love, gratitude, or admiration.",,,http://localhost:9000/static/1731102278954-roses.jpg,,,2024-11-08T21:44:39.080Z,,true,,,http://localhost:9000/static/1731102278954-roses.jpg,false,,,,,sc_01JBYPA6S9ZG068M4VFJQNC33B,flower,2024-11-08T21:44:39.080Z,,,variant_01JC6VSD8N21NVEJ2QGNVJR9KP,Large (36 roses) / Red / Classic paper wrap,,,,,,false,false,,2024-11-08T21:44:51.235Z,,,,,,Size,Large (36 roses),Color,Red,Wrapping Style,Classic paper wrap,,60,prod_01JC6VS1S74ACE8RN57D8P4VD1,2024-11-08T21:44:51.235Z,0,,
prod_01JC6VS1S74ACE8RN57D8P4VD1,classic-rose-bouquet,Classic Rose Bouquet,published,"A timeless bouquet of fresh roses, perfect for expressing love, gratitude, or admiration.",,,http://localhost:9000/static/1731102278954-roses.jpg,,,2024-11-08T21:44:39.080Z,,true,,,http://localhost:9000/static/1731102278954-roses.jpg,false,,,,,sc_01JBYPA6S9ZG068M4VFJQNC33B,flower,2024-11-08T21:44:39.080Z,,,variant_01JC6VSD8P772HFKT6DZSZ5N5Z,Small (12 roses) / Pink / Classic paper wrap,,,,,,false,false,,2024-11-08T21:44:51.235Z,,,,,,Size,Small (12 roses),Color,Pink,Wrapping Style,Classic paper wrap,,30,prod_01JC6VS1S74ACE8RN57D8P4VD1,2024-11-08T21:44:51.235Z,0,,
prod_01JC6VS1S74ACE8RN57D8P4VD1,classic-rose-bouquet,Classic Rose Bouquet,published,"A timeless bouquet of fresh roses, perfect for expressing love, gratitude, or admiration.",,,http://localhost:9000/static/1731102278954-roses.jpg,,,2024-11-08T21:44:39.080Z,,true,,,http://localhost:9000/static/1731102278954-roses.jpg,false,,,,,sc_01JBYPA6S9ZG068M4VFJQNC33B,flower,2024-11-08T21:44:39.080Z,,,variant_01JC6VSD8PN2PTSVWFDAE1E441,Medium (24 roses) / Pink / Classic paper wrap,,,,,,false,false,,2024-11-08T21:44:51.235Z,,,,,,Size,Medium (24 roses),Color,Pink,Wrapping Style,Classic paper wrap,,45,prod_01JC6VS1S74ACE8RN57D8P4VD1,2024-11-08T21:44:51.235Z,0,,
prod_01JC6VS1S74ACE8RN57D8P4VD1,classic-rose-bouquet,Classic Rose Bouquet,published,"A timeless bouquet of fresh roses, perfect for expressing love, gratitude, or admiration.",,,http://localhost:9000/static/1731102278954-roses.jpg,,,2024-11-08T21:44:39.080Z,,true,,,http://localhost:9000/static/1731102278954-roses.jpg,false,,,,,sc_01JBYPA6S9ZG068M4VFJQNC33B,flower,2024-11-08T21:44:39.080Z,,,variant_01JC6VSD8PDVPSAQMNSG8DVTGM,Large (36 roses) / Pink / Classic paper wrap,,,,,,false,false,,2024-11-08T21:44:51.235Z,,,,,,Size,Large (36 roses),Color,Pink,Wrapping Style,Classic paper wrap,,60,prod_01JC6VS1S74ACE8RN57D8P4VD1,2024-11-08T21:44:51.235Z,0,,
prod_01JC6VS1S74ACE8RN57D8P4VD1,classic-rose-bouquet,Classic Rose Bouquet,published,"A timeless bouquet of fresh roses, perfect for expressing love, gratitude, or admiration.",,,http://localhost:9000/static/1731102278954-roses.jpg,,,2024-11-08T21:44:39.080Z,,true,,,http://localhost:9000/static/1731102278954-roses.jpg,false,,,,,sc_01JBYPA6S9ZG068M4VFJQNC33B,flower,2024-11-08T21:44:39.080Z,,,variant_01JC6VSD8P74MGBPZFDT9CW52G,Small (12 roses) / White / Classic paper wrap,,,,,,false,false,,2024-11-08T21:44:51.235Z,,,,,,Size,Small (12 roses),Color,White,Wrapping Style,Classic paper wrap,,30,prod_01JC6VS1S74ACE8RN57D8P4VD1,2024-11-08T21:44:51.235Z,0,,
prod_01JC6VS1S74ACE8RN57D8P4VD1,classic-rose-bouquet,Classic Rose Bouquet,published,"A timeless bouquet of fresh roses, perfect for expressing love, gratitude, or admiration.",,,http://localhost:9000/static/1731102278954-roses.jpg,,,2024-11-08T21:44:39.080Z,,true,,,http://localhost:9000/static/1731102278954-roses.jpg,false,,,,,sc_01JBYPA6S9ZG068M4VFJQNC33B,flower,2024-11-08T21:44:39.080Z,,,variant_01JC6VSD8PXRADW9HHCGAAD7FG,Medium (24 roses) / White / Classic paper wrap,,,,,,false,false,,2024-11-08T21:44:51.235Z,,,,,,Size,Medium (24 roses),Color,White,Wrapping Style,Classic paper wrap,,45,prod_01JC6VS1S74ACE8RN57D8P4VD1,2024-11-08T21:44:51.235Z,0,,
prod_01JC6VS1S74ACE8RN57D8P4VD1,classic-rose-bouquet,Classic Rose Bouquet,published,"A timeless bouquet of fresh roses, perfect for expressing love, gratitude, or admiration.",,,http://localhost:9000/static/1731102278954-roses.jpg,,,2024-11-08T21:44:39.080Z,,true,,,http://localhost:9000/static/1731102278954-roses.jpg,false,,,,,sc_01JBYPA6S9ZG068M4VFJQNC33B,flower,2024-11-08T21:44:39.080Z,,,variant_01JC6VSD8PHJZSQ1RBV989AXRR,Large (36 roses) / White / Classic paper wrap,,,,,,false,false,,2024-11-08T21:44:51.235Z,,,,,,Size,Large (36 roses),Color,White,Wrapping Style,Classic paper wrap,,60,prod_01JC6VS1S74ACE8RN57D8P4VD1,2024-11-08T21:44:51.235Z,0,,
prod_01JC6VS1S74ACE8RN57D8P4VD1,classic-rose-bouquet,Classic Rose Bouquet,published,"A timeless bouquet of fresh roses, perfect for expressing love, gratitude, or admiration.",,,http://localhost:9000/static/1731102278954-roses.jpg,,,2024-11-08T21:44:39.080Z,,true,,,http://localhost:9000/static/1731102278954-roses.jpg,false,,,,,sc_01JBYPA6S9ZG068M4VFJQNC33B,flower,2024-11-08T21:44:39.080Z,,,variant_01JC6VSD8PKPYWBF361CAY0X9J,Small (12 roses) / Mixed / Classic paper wrap,,,,,,false,false,,2024-11-08T21:44:51.235Z,,,,,,Size,Small (12 roses),Color,Mixed,Wrapping Style,Classic paper wrap,,30,prod_01JC6VS1S74ACE8RN57D8P4VD1,2024-11-08T21:44:51.235Z,0,,
